Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012620000,0.0022260200,0.0033500400,1.1263202647,3.0000231272,6.7474288522,100.5631485687,102.4368514313,103.0439714460,104.3325616835,100.0000000000,100.0000000000,
0.0014420000,0.0023860200,0.0034100400,3.0000231272,6.7474288522,6.7474288522,98.1262971375,100.0000000000,96.9560285540,96.9560285540,100.0000000000,100.0000000000,
0.0013420000,0.0023860200,0.0032500400,-0.7473825978,6.7474288522,6.7474288522,103.0000000000,100.0000000000,103.7474346140,96.2525653860,100.0000000000,100.0000000000,
0.0023380200,0.0039620400,0.0051260600,6.7474288522,3.0000231272,6.7474288522,100.0000000000,103.0000000000,100.0000000000,106.0879428920,100.0000000000,100.0000000000,
0.0012820000,0.0022860200,0.0033900400,6.7474288522,1.1263202647,-0.7473825978,100.9368514313,100.0000000000,100.0591680493,92.5642988213,100.0000000000,100.0000000000,
0.0014420000,0.0024660200,0.0033100400,1.1263202647,6.7474288522,6.7474288522,100.0000000000,103.0000000000,100.0000000000,107.3765331295,100.0000000000,100.0000000000,
0.0013420000,0.0022460200,0.0033100400,-0.7473825978,6.7474288522,-0.7473825978,98.5000000000,101.5000000000,96.2525653860,103.7474346140,100.0000000000,100.0000000000,
0.0013420000,0.0023060200,0.0031700400,4.8737259897,6.7474288522,1.1263202647,97.1894457062,100.0000000000,96.3117334353,99.9408319507,100.0000000000,100.0000000000,
0.0014820000,0.0024460200,0.0033100400,4.8737259897,1.1263202647,6.7474288522,100.0000000000,103.0000000000,98.1854507423,105.5619838717,100.0000000000,100.0000000000,
0.0011420000,0.0021260200,0.0029700400,3.0000231272,-0.7473825978,6.7474288522,103.0000000000,100.0000000000,103.7474346140,102.3405082780,100.0000000000,100.0000000000,
0.0011420000,0.0022860200,0.0033700400,6.7474288522,6.7474288522,3.0000231272,98.1262971375,100.0000000000,96.9560285540,96.9560285540,100.0000000000,100.0000000000,
0.0011820000,0.0022260200,0.0032900400,4.8737259897,3.0000231272,-0.7473825978,98.1262971375,100.0000000000,99.2965368320,96.8376924555,100.0000000000,100.0000000000,
0.0011820000,0.0022460200,0.0032300400,3.0000231272,1.1263202647,4.8737259897,99.0631485687,100.0000000000,99.3557048812,96.8968605047,100.0000000000,100.0000000000,
0.0016020000,0.0024660200,0.0033100400,4.8737259897,-0.7473825978,6.7474288522,97.0000000000,100.0000000000,96.2525653860,99.8816639015,100.0000000000,100.0000000000,
0.0014020000,0.0023060200,0.0034100400,-0.7473825978,3.0000231272,6.7474288522,98.1262971375,100.0000000000,99.2965368320,93.2085939400,100.0000000000,100.0000000000,
0.0014220000,0.0024460200,0.0033100400,3.0000231272,6.7474288522,-0.7473825978,97.0000000000,100.0000000000,96.2525653860,102.3405082780,100.0000000000,100.0000000000,
0.0011620000,0.0021060200,0.0030700400,1.1263202647,1.1263202647,-0.7473825978,100.0000000000,102.4368514313,100.0000000000,100.1183360985,100.0000000000,100.0000000000,
0.0014420000,0.0023860200,0.0033900400,3.0000231272,3.0000231272,6.7474288522,100.0000000000,100.0000000000,100.0000000000,93.9120571080,100.0000000000,100.0000000000,
0.0011620000,0.0021660200,0.0032300400,3.0000231272,6.7474288522,-0.7473825978,100.0000000000,103.0000000000,103.0439714460,104.4508977820,100.0000000000,100.0000000000,
0.0013020000,0.0023860200,0.0033100400,3.0000231272,4.8737259897,4.8737259897,100.9368514313,100.5631485687,101.2294221882,98.7705778118,100.0000000000,100.0000000000,
0.0013820000,0.0022460200,0.0034100400,1.1263202647,3.0000231272,-0.7473825978,98.1262971375,100.5631485687,99.2965368320,100.5851270695,100.0000000000,100.0000000000,
0.0014020000,0.0022460200,0.0033500400,-0.7473825978,3.0000231272,3.0000231272,100.0000000000,103.0000000000,100.0000000000,101.4069263360,100.0000000000,100.0000000000,
0.0012620000,0.0022260200,0.0033300400,6.7474288522,1.1263202647,3.0000231272,99.4368514313,102.4368514313,96.9560285540,104.3325616835,100.0000000000,100.0000000000,
0.0012020000,0.0021860200,0.0033300400,4.8737259897,1.1263202647,3.0000231272,100.9368514313,100.0000000000,100.6442951188,96.8968605047,100.0000000000,100.0000000000,
0.0016420000,0.0025460200,0.0034100400,6.7474288522,1.1263202647,4.8737259897,97.1894457062,100.0000000000,96.3117334353,99.9408319507,100.0000000000,100.0000000000,
0.0015220000,0.0023860200,0.0032500400,1.1263202647,6.7474288522,-0.7473825978,100.9368514313,100.0000000000,100.0591680493,92.5642988213,100.0000000000,100.0000000000,
0.0011620000,0.0021660200,0.0030700400,3.0000231272,1.1263202647,6.7474288522,100.9368514313,100.0000000000,100.6442951188,93.2677619893,100.0000000000,100.0000000000,
0.0012420000,0.0021260200,0.0032700400,3.0000231272,4.8737259897,6.7474288522,100.9368514313,100.0000000000,101.2294221882,95.1414792963,100.0000000000,100.0000000000,
0.0014820000,0.0024460200,0.0033900400,4.8737259897,4.8737259897,6.7474288522,99.0631485687,101.5000000000,98.1854507423,101.8145492577,100.0000000000,100.0000000000,
0.0011620000,0.0021060200,0.0032500400,1.1263202647,4.8737259897,3.0000231272,99.4368514313,102.4368514313,98.7705778118,102.5180124258,100.0000000000,100.0000000000,
