Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0013420000,0.0021860067,0.0031900133,0.0047900267,0.0062140334,0.0070780400,1.0001076399,4.7475133649,-0.8735952226,-0.8735952226,-0.8735952226,-0.8735952226,100.2500000000,100.0670000000,104.9259675479,100.9563702711,100.0000000000,100.0000000000,
0.0012020000,0.0020460067,0.0029100133,0.0037540200,0.0046380267,0.0054820334,2.8738105024,1.0001076399,-0.8735952226,1.0001076399,4.7475133649,2.8738105024,100.0000000000,100.9368514313,101.3085433432,100.9358260640,100.0000000000,100.0000000000,
0.0014220000,0.0023060067,0.0032300133,0.0040940200,0.0059540267,0.0074780334,1.0001076399,1.0001076399,4.7475133649,-0.8735952226,-0.8735952226,1.0001076399,99.5000000000,100.5000000000,101.0382341975,98.1583988277,100.0000000000,100.0000000000,
0.0011420000,0.0020260067,0.0029900133,0.0040140200,0.0048980267,0.0058620334,-0.8735952226,-2.7472980851,1.0001076399,-2.7472980851,-0.8735952226,1.0001076399,100.0000000000,100.0000000000,100.7616028154,100.1884470347,100.0000000000,100.0000000000,
0.0011620000,0.0021860067,0.0030300133,0.0038740200,0.0047380267,0.0058020334,4.7475133649,1.0001076399,-0.8735952226,-0.8735952226,1.0001076399,-0.8735952226,100.0000000000,100.5000000000,100.9748390478,102.9397816680,100.0000000000,100.0000000000,
0.0019780067,0.0029620133,0.0046020234,0.0055460300,0.0072300367,0.0090940434,1.0001076399,2.8738105024,4.7475133649,-2.7472980851,1.0001076399,1.0001076399,99.5000000000,100.8660000000,101.7660150494,101.2546854406,100.0000000000,100.0000000000,
0.0011420000,0.0021060067,0.0030100133,0.0038540200,0.0048980267,0.0057820334,2.8738105024,4.7475133649,4.7475133649,-2.7472980851,-2.7472980851,-2.7472980851,99.7500000000,100.0000000000,97.4711160535,101.4588457287,100.0000000000,100.0000000000,
0.0011820000,0.0020860067,0.0030700133,0.0039740200,0.0049780267,0.0058420334,-2.7472980851,-0.8735952226,2.8738105024,4.7475133649,2.8738105024,1.0001076399,99.0000000000,100.0000000000,103.0356710020,103.7185340481,100.0000000000,100.0000000000,
0.0013420000,0.0022460067,0.0039260200,0.0047700267,0.0059340334,0.0068380400,1.0001076399,4.7475133649,-2.7472980851,-0.8735952226,-2.7472980851,2.8738105024,100.0000000000,100.0000000000,104.5839906610,101.4894125695,100.0000000000,100.0000000000,
0.0012220000,0.0028620114,0.0038260181,0.0046900247,0.0059940314,0.0073980381,1.0001076399,-2.7472980851,4.7475133649,-0.8735952226,2.8738105024,2.8738105024,99.0000000000,100.0000000000,102.2505112028,100.5527225412,100.0000000000,100.0000000000,
0.0011620000,0.0020660067,0.0029300133,0.0038140200,0.0048380267,0.0056820334,-0.8735952226,2.8738105024,-2.7472980851,-2.7472980851,-0.8735952226,2.8738105024,99.7500000000,99.5670000000,101.1201838297,101.2752194403,100.0000000000,100.0000000000,
0.0012020000,0.0022060067,0.0030500133,0.0039740200,0.0049380267,0.0058620334,4.7475133649,2.8738105024,-0.8735952226,-2.7472980851,1.0001076399,1.0001076399,100.0000000000,101.0000000000,96.5176592783,101.1489535842,100.0000000000,100.0000000000,
0.0011420000,0.0020060067,0.0030100133,0.0046300267,0.0056740334,0.0070780400,2.8738105024,-0.8735952226,1.0001076399,4.7475133649,1.0001076399,1.0001076399,101.0000000000,100.0000000000,104.0784502920,101.5663937354,100.0000000000,100.0000000000,
0.0011420000,0.0020660067,0.0037860191,0.0046500258,0.0054940325,0.0065580391,-2.7472980851,-0.8735952226,4.7475133649,2.8738105024,-2.7472980851,-0.8735952226,100.5000000000,100.5000000000,96.6405651113,101.9643876184,100.0000000000,100.0000000000,
0.0012420000,0.0021060067,0.0029700133,0.0038540200,0.0046980267,0.0056420334,4.7475133649,-2.7472980851,1.0001076399,-0.8735952226,-0.8735952226,-2.7472980851,99.5000000000,99.5000000000,101.1664419054,99.5870543014,100.0000000000,100.0000000000,
0.0011420000,0.0020060067,0.0030500133,0.0038940200,0.0048380267,0.0058420334,4.7475133649,4.7475133649,1.0001076399,2.8738105024,4.7475133649,2.8738105024,100.5000000000,99.1340000000,101.2030706811,97.2552075497,100.0000000000,100.0000000000,
0.0019180064,0.0030820131,0.0046020245,0.0059060312,0.0081660378,0.0098500445,-0.8735952226,-2.7472980851,1.0001076399,4.7475133649,2.8738105024,1.0001076399,99.0000000000,100.0000000000,103.4179653713,100.4851458931,100.0000000000,100.0000000000,
