Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011420000,0.0021460067,0.0030500133,0.0039540200,0.0048780267,0.0064580367,0.0074420434,0.0084460500,0.0094100562,-0.8735952226,-0.8735952226,-0.8735952226,-0.8735952226,-2.7472980851,2.8738105024,1.0001076399,-0.9572373184,-2.7472980851,100.2500000000,99.9330000000,99.4950449742,101.6684428157,100.0000000000,100.0000000000,
0.0011620000,0.0020260067,0.0028700133,0.0037140200,0.0046380267,0.0057420328,0.0066060395,0.0074700461,0.0083540528,2.8738105024,-0.8735952226,1.0001076399,-2.7472980851,4.6638712691,4.7475133649,1.0001076399,4.7475133649,1.0001076399,99.5000000000,100.8660000000,96.1980965658,95.8321186316,100.0000000000,100.0000000000,
0.0018380064,0.0027220131,0.0036260198,0.0044900265,0.0054140331,0.0063780398,0.0072420465,0.0080860526,0.0095500593,2.8738105024,-0.8735952226,2.8738105024,-2.7472980851,4.7475133649,-0.8735952226,4.6638712691,4.7475133649,-2.7472980851,100.0000000000,100.8660000000,102.0664809943,101.4233804999,100.0000000000,100.0000000000,
0.0011820000,0.0027220109,0.0036660176,0.0046300243,0.0055140310,0.0064380376,0.0072820443,0.0083060510,0.0092900571,-0.8735952226,2.8738105024,1.0001076399,-0.8735952226,-2.7472980851,4.7475133649,2.8738105024,0.9164655441,2.8738105024,100.0000000000,100.9368514313,100.2064145385,99.0872245476,100.0000000000,100.0000000000,
0.0019380067,0.0029220133,0.0038660200,0.0047100267,0.0055540334,0.0064380400,0.0082180461,0.0103380528,0.0111820595,1.0001076399,-2.7472980851,-2.7472980851,4.7475133649,4.7475133649,-0.9572373184,-0.8735952226,-0.8735952226,4.7475133649,100.7500000000,100.4330000000,102.0719657317,103.0279987225,100.0000000000,100.0000000000,
0.0012220000,0.0027820131,0.0036860198,0.0045500259,0.0053940326,0.0062980392,0.0071820459,0.0082860526,0.0094100593,-2.7472980851,-0.8735952226,0.9164655441,1.0001076399,-2.7472980851,1.0001076399,1.0001076399,1.0001076399,2.8738105024,99.7500000000,100.0670000000,101.6429341287,98.7107801382,100.0000000000,100.0000000000,
0.0012420000,0.0022060067,0.0031100128,0.0040340195,0.0048980261,0.0063980392,0.0073020459,0.0082060526,0.0092500593,-2.7472980851,0.9164655441,-2.7472980851,-0.8735952226,4.7475133649,-2.7472980851,-0.8735952226,-2.7472980851,-2.7472980851,99.7500000000,100.0000000000,100.0599640164,100.7892382387,100.0000000000,100.0000000000,
0.0012220000,0.0021060067,0.0029700133,0.0038140200,0.0048180267,0.0063780392,0.0072220459,0.0084660526,0.0094700593,1.0001076399,-0.8735952226,-0.8735952226,2.8738105024,4.6638712691,4.7475133649,-2.7472980851,4.7475133649,4.7475133649,100.5000000000,99.1340000000,103.6192994001,97.0046711579,100.0000000000,100.0000000000,
0.0011620000,0.0020260067,0.0030300133,0.0039740200,0.0048780267,0.0064180381,0.0075020442,0.0088660509,0.0100700576,2.8738105024,2.8738105024,-0.8735952226,-2.7472980851,-2.7472980851,0.9164655441,-0.8735952226,4.7475133649,1.0001076399,100.0000000000,100.0000000000,99.9790874736,101.6534715260,100.0000000000,100.0000000000,
0.0012220000,0.0020660067,0.0029500133,0.0044900228,0.0053340295,0.0061980361,0.0070620428,0.0079460495,0.0088500562,2.8738105024,-0.8735952226,4.6638712691,-0.8735952226,4.7475133649,2.8738105024,1.0001076399,-2.7472980851,2.8738105024,100.5000000000,99.1340000000,99.8947243256,100.7979014231,100.0000000000,100.0000000000,
0.0011420000,0.0020260067,0.0029100133,0.0038340200,0.0047780267,0.0063380398,0.0056020334,0.0080860526,0.0091100593,-2.7472980851,2.8738105024,-0.8735952226,2.8738105024,1.0001076399,-2.8309401809,233837.2521888624,2.8738105024,-2.7472980851,100.6918210479,100.0000000000,3223785577.9585504532,-3274350299.7356147766,100.0000000000,100.0000000000,
0.0011420000,0.0022860067,0.0037860191,0.0046500258,0.0054940325,0.0064580391,0.0073020453,0.0084460519,0.0099100586,2.8738105024,-0.8735952226,-0.8735952226,2.8738105024,-2.7472980851,-0.9572373184,-0.8735952226,-2.7472980851,4.7475133649,100.5000000000,99.5000000000,103.2502569085,95.4841294604,100.0000000000,100.0000000000,
0.0011620000,0.0021260061,0.0030100128,0.0038540195,0.0047980261,0.0057020328,0.0065660395,0.0074300461,0.0082940528,0.9164655441,4.7475133649,2.8738105024,-2.7472980851,2.8738105024,1.0001076399,-2.7472980851,-0.8735952226,-2.7472980851,99.5000000000,100.5000000000,99.6797619664,100.2240658620,100.0000000000,100.0000000000,
0.0012020000,0.0020460067,0.0029300133,0.0037740200,0.0046180267,0.0061580392,0.0072220459,0.0083260526,0.0096900593,-2.7472980851,-0.8735952226,2.8738105024,-2.7472980851,-0.9572373184,2.8738105024,1.0001076399,-0.8735952226,4.7475133649,100.5000000000,100.5000000000,104.2691451106,95.7151566307,100.0000000000,100.0000000000,
0.0011420000,0.0019860067,0.0029100133,0.0039140195,0.0047780261,0.0056220328,0.0065060395,0.0073900461,0.0083540528,1.0001076399,1.0001076399,2.7901684066,1.0001076399,-0.8735952226,-2.7472980851,-0.8735952226,1.0001076399,-2.7472980851,99.7500000000,100.9330000000,100.3913982832,98.3290537134,100.0000000000,100.0000000000,
0.0011820000,0.0020460067,0.0028900133,0.0037740200,0.0046180267,0.0055020334,0.0064460400,0.0072900461,0.0082740528,-0.8735952226,-2.7472980851,4.7475133649,4.7475133649,2.8738105024,-2.7472980851,4.6638712691,-2.7472980851,-2.7472980851,100.0000000000,100.0670000000,101.6886894057,100.1574917333,100.0000000000,100.0000000000,
0.0011420000,0.0034180182,0.0042620249,0.0051460310,0.0060100377,0.0068740444,0.0078580510,0.0093420577,0.0103260644,1.0001076399,2.8738105024,2.7901684066,1.0001076399,2.8738105024,2.8738105024,1.0001076399,2.8738105024,-2.7472980851,100.5000000000,100.8660000000,100.0251611959,99.2199729137,100.0000000000,100.0000000000,
0.0011420000,0.0020860067,0.0029500128,0.0037940195,0.0046980261,0.0056220328,0.0065060395,0.0074700461,0.0083140528,1.0001076399,0.9164655441,1.0001076399,2.8738105024,2.8738105024,1.0001076399,4.7475133649,2.8738105024,2.8738105024,100.1918210479,99.9330000000,98.8236060731,99.3689627224,100.0000000000,100.0000000000,
0.0011820000,0.0020260067,0.0029500133,0.0046300247,0.0054940314,0.0063580381,0.0072420447,0.0081660509,0.0091300575,4.7475133649,-2.7472980851,-0.8735952226,-0.8735952226,4.7475133649,-0.8735952226,2.7901684066,-0.8735952226,2.8738105024,100.5000000000,99.1340000000,99.6639135163,96.5921923613,100.0000000000,100.0000000000,
0.0012020000,0.0020860067,0.0029900128,0.0044700242,0.0053540308,0.0063580375,0.0078980509,0.0088620575,0.0107260642,2.8738105024,-0.9572373184,-2.7472980851,-0.8735952226,-2.7472980851,2.8738105024,2.8738105024,-2.7472980851,1.0001076399,100.0000000000,99.9330000000,101.8558279389,99.9029782879,100.0000000000,100.0000000000,
0.0025140122,0.0033780189,0.0050180320,0.0065580420,0.0058420387,0.0083060548,0.0093100615,0.0101740681,0.0112580748,-2.7472980851,2.8738105024,1.0001076399,2.8738105024,230840.7355841414,2.8738105024,4.7475133649,4.7475133649,4.7475133649,101.0000000000,100.0000000000,-5169447852.6884908676,2157925886.8476276398,100.0000000000,100.0000000000,
0.0011820000,0.0020860067,0.0029300133,0.0039540200,0.0047980267,0.0063580395,0.0072220461,0.0087860528,0.0097700595,2.8738105024,1.0001076399,-0.8735952226,2.8738105024,4.6638712691,-0.8735952226,-0.8735952226,2.8738105024,1.0001076399,100.0000000000,100.0670000000,99.1356069991,98.5877709829,100.0000000000,100.0000000000,
0.0018180067,0.0027020133,0.0036860200,0.0052060325,0.0061500391,0.0069940458,0.0081380525,0.0090020592,0.0106460653,2.8738105024,4.7475133649,1.0001076399,1.0001076399,4.7475133649,2.8738105024,-2.7472980851,-2.8309401809,4.7475133649,100.6918210479,100.1676289521,95.5100521866,95.6541219353,100.0000000000,100.0000000000,
0.0026740124,0.0036180191,0.0045420258,0.0062820391,0.0072860458,0.0082500525,0.0093740592,0.0104780658,0.0115220725,-0.8735952226,-0.8735952226,2.8738105024,4.7475133649,2.8738105024,1.0001076399,-2.7472980851,-0.8735952226,-2.8309401809,100.1918210479,99.3852710479,99.8431545196,101.7631591958,100.0000000000,100.0000000000,
0.0012220000,0.0028020131,0.0042820233,0.0051260294,0.0059900361,0.0068740428,0.0079580494,0.0090020561,0.0111860628,-2.7472980851,2.8738105024,-2.8309401809,2.8738105024,-2.7472980851,4.7475133649,1.0001076399,-0.8735952226,-0.8735952226,100.6918210479,100.0000000000,102.9064541821,97.7542678770,100.0000000000,100.0000000000,
