Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
104.73,96.0743,104.706,96.0627,0.0271174,0.609125635092,
106.729,102.918,106.748,102.907,0.0226211,1.197683883622,
100.027,100.472,100.03,100.486,0.0142008,1.786096847169,
106.088,96.5926,106.076,96.581,0.0164894,2.382259034796,
105.615,103.645,105.641,103.648,0.0259397,2.962448045033,
100.119,99.04,100.113,99.0571,0.0184025,3.557765207119,
107.116,97.4966,107.103,97.4764,0.0238257,4.149892244474,
104.186,103.988,104.214,103.994,0.0283983,4.736484109902,
100.798,97.5966,100.787,97.6175,0.0236465,5.339570090339,
107.842,98.878,107.835,98.8616,0.0181105,5.930329497302,
102.544,103.719,102.566,103.734,0.0266842,6.523820375603,
101.983,96.5411,101.965,96.5564,0.0235137,7.121547137453,
107.98,100.408,107.982,100.376,0.0317929,7.707934555548,
101.317,102.971,101.338,102.985,0.0250022,8.297648622785,
103.39,96.0623,103.356,96.0522,0.0358517,8.897432653982,
107.506,101.936,107.517,101.906,0.0316801,9.491007660934,
100.314,101.562,100.324,101.576,0.0169006,10.087941059739,
105.069,96.1525,105.045,96.1389,0.0274756,10.6854264752,
106.537,103.103,106.554,103.078,0.030163,11.268296450197,
100.003,100.144,100.004,100.168,0.024243,11.860413707427,
106.257,96.6993,106.232,96.6804,0.0320103,12.449315951312,
105.235,103.812,105.248,103.8,0.0181092,13.043104892644,
100.181,98.8253,100.172,98.8412,0.0182464,13.625566057135,
107.234,97.6413,107.219,97.6257,0.0213613,14.215017276815,
104.068,104.001,104.085,103.999,0.0175077,14.797717072598,
100.834,97.5477,100.825,97.5671,0.0215021,15.396718727935,
107.86,98.9429,107.854,98.9277,0.0167042,15.988182136128,
102.517,103.72,102.537,103.723,0.0207487,16.579204723316,
101.94,96.5649,101.923,96.5818,0.0244479,17.171375224761,
107.975,100.459,107.976,100.434,0.0256337,17.76447834538,
101.202,102.853,101.219,102.875,0.0276612,18.359784425491,
103.627,96.0252,103.599,96.0201,0.0280045,18.965840905422,
107.458,102.027,107.464,102,0.0282369,19.550783551261,
100.343,101.611,100.348,101.631,0.0208608,20.136924801356,
105.147,96.1703,105.123,96.1609,0.0259309,20.74419047531,
106.47,103.155,106.486,103.133,0.0271762,21.327368103124,
100,100.026,100,100.052,0.0258846,21.921361046566,
106.524,96.8985,106.512,96.8875,0.0158131,22.524328031338,
105.072,103.864,105.085,103.85,0.0182891,23.107584616328,
100.293,98.494,100.286,98.5157,0.0228007,23.701522005493,
107.476,98.0108,107.46,97.9925,0.0241788,24.29867319256,
103.601,103.973,103.626,103.982,0.0263957,24.881788538536,
101.196,97.1399,101.186,97.1574,0.0199987,25.486002582266,
107.952,99.393,107.949,99.3657,0.0274718,26.070790094058,
102.093,103.521,102.111,103.526,0.0179305,26.66346053821,
102.363,96.3464,102.348,96.3572,0.0186422,27.256111289762,
107.888,100.924,107.896,100.908,0.0176788,27.850206807573,
100.832,102.437,100.839,102.451,0.0163539,28.450368404016,
104.131,96.0086,104.106,96.0014,0.0261009,29.052393118966,
107.099,102.523,107.115,102.509,0.0217645,29.645231477664,
100.101,100.886,100.107,100.918,0.0321441,30.240592524916,
105.745,96.4066,105.722,96.3898,0.0284476,30.839878710328,
105.89,103.545,105.911,103.514,0.0375203,31.427320059704,
100.077,99.2132,100.075,99.2303,0.0173691,32.029097402069,
107.005,97.3679,106.994,97.3471,0.0238202,32.622016268685,
104.287,103.983,104.312,103.988,0.0249193,33.213508277097,
100.691,97.7621,100.678,97.7722,0.0163902,33.810641813579,
107.783,98.6912,107.774,98.6759,0.0175766,34.401065264625,
102.843,103.823,102.863,103.835,0.0236144,34.986416575784,
101.758,96.673,101.745,96.6965,0.0271864,35.587935498217,
