Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
6.18712,1.32808,8.05198,101.328,104.979,101.327,104.978,
6.18592,8.04928,1.32628,101.326,104.977,101.325,104.975,
8.04628,1.32478,6.18397,101.325,104.974,101.323,104.972,
8.04283,1.32298,6.18247,101.323,104.97,101.322,104.968,
8.03938,1.32119,6.18082,101.321,104.967,101.319,104.964,
1.31909,8.03414,6.17887,101.318,104.962,101.317,104.961,
1.31729,8.03069,6.17737,101.317,104.959,101.315,104.957,
6.17617,1.31504,8.02634,101.314,104.955,101.313,104.954,
6.17453,8.02335,1.31294,101.312,104.953,101.311,104.951,
6.17303,1.31159,8.01945,101.31,104.949,101.309,104.947,
1.31009,8.01645,6.17123,101.309,104.946,101.308,104.944,
1.30844,8.01315,6.16988,101.307,104.943,101.306,104.941,
8.01015,6.16853,1.30635,101.306,104.94,101.304,104.938,
1.305,8.00596,6.16673,101.303,104.936,101.302,104.934,
8.00326,6.16553,1.3029,101.302,104.934,101.3,104.931,
7.99981,6.16403,1.30125,101.3,104.93,101.299,104.928,
1.2999,6.16268,7.99531,101.297,104.926,101.297,104.925,
1.2981,7.99202,6.16059,101.296,104.923,101.295,104.921,
7.98872,1.29615,6.15909,101.294,104.92,101.293,104.918,
1.29465,6.15759,7.98407,101.291,104.915,101.29,104.914,
6.15594,1.29241,7.97988,101.289,104.912,101.288,104.91,
1.29091,6.15429,7.97598,101.287,104.908,101.286,104.906,
1.28896,6.15234,7.97178,101.285,104.904,101.284,104.902,
7.96923,1.28716,6.15069,101.284,104.901,101.282,104.899,
7.96579,6.14934,1.28536,101.282,104.898,101.28,104.896,
1.28401,6.14784,7.96144,101.279,104.894,101.279,104.893,
6.14664,7.95844,1.28206,101.278,104.892,101.277,104.889,
1.28101,7.95469,6.14455,101.276,104.888,101.275,104.886,
1.27951,7.9511,6.14305,101.274,104.884,101.273,104.883,
6.14185,1.27757,7.94705,101.272,104.881,101.271,104.879,
7.94465,6.1402,1.27577,101.271,104.878,101.269,104.876,
7.9412,6.1387,1.27442,101.269,104.875,101.267,104.872,
6.13735,7.93716,1.27277,101.267,104.871,101.265,104.869,
6.13585,1.27157,7.93296,101.264,104.867,101.264,104.866,
1.27022,6.1342,7.92996,101.263,104.864,101.262,104.863,
1.26902,7.92711,6.13255,101.262,104.861,101.26,104.859,
6.13136,1.26707,7.92247,101.259,104.857,101.258,104.856,
6.12986,7.91947,1.26542,101.257,104.855,101.256,104.852,
1.26422,7.91587,6.12791,101.255,104.851,101.254,104.849,
1.26288,7.91257,6.12641,101.254,104.848,101.253,104.846,
6.12536,1.26138,7.90853,101.251,104.844,101.251,104.842,
7.90553,6.12341,1.25958,101.25,104.841,101.249,104.839,
6.12206,1.25838,7.90133,101.248,104.837,101.247,104.836,
1.25703,6.12041,7.89773,101.246,104.834,101.245,104.832,
7.89518,1.25568,6.11876,101.245,104.831,101.243,104.829,
7.89189,6.11756,1.25418,101.243,104.828,101.241,104.826,
7.88814,1.25298,6.11562,101.241,104.824,101.239,104.822,
1.25163,7.88409,6.11412,101.239,104.82,101.238,104.819,
6.11307,1.25028,7.88019,101.236,104.817,101.236,104.815,
6.11157,1.24879,7.87675,101.235,104.814,101.234,104.812,
1.24774,6.10992,7.87315,101.233,104.81,101.232,104.809,
7.87075,6.10842,1.24624,101.232,104.808,101.23,104.806,
7.86745,6.10707,1.24489,101.23,104.805,101.229,104.802,
7.86371,1.24369,6.10512,101.228,104.801,101.227,104.799,
6.10407,1.24249,7.85936,101.225,104.797,101.225,104.796,
