Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
104.704,105.014,104.757,105,0.054266,1.022904114244,
100.69,94.9897,100.649,95,0.0429013,2.049848713573,
103.949,104.978,103.994,105,0.0506405,3.076116041178,
101.727,95.0002,101.701,95,0.0265881,4.119692953473,
102.922,105.006,102.968,105,0.0466198,5.141855940851,
102.591,94.9963,102.556,95,0.0350719,6.17675631565,
102.054,104.999,102.105,105,0.0503788,7.200868115172,
103.358,95.007,103.323,95,0.0361327,8.227781264409,
101.396,104.986,101.433,105,0.0397176,9.244467631277,
104.124,95.0116,104.088,95,0.0377228,10.279437160459,
100.517,105.003,100.543,105,0.0258814,11.303428017294,
104.998,95.063,105,95.0184,0.0446561,12.34130120061,
99.9819,104.724,100,104.768,0.0482873,13.357091105438,
104.997,95.4448,105,95.4034,0.0414918,14.36822452642,
100.009,104.218,100,104.245,0.0286938,15.389942691206,
105.014,96.307,105,96.2761,0.0340313,16.424589337043,
99.993,103.547,100,103.569,0.0228507,17.435423159362,
105.016,97.085,105,97.0422,0.0458742,18.477453669883,
100.001,102.445,100,102.483,0.0381471,19.507775620375,
105.015,98.1638,105,98.126,0.0405348,20.549389981643,
99.9876,101.267,100,101.3,0.0352596,21.586619662713,
105.003,99.0555,105,99.0292,0.0263412,22.609685830826,
100.013,100.326,100,100.38,0.055486,23.649590993015,
105.016,100.195,105,100.161,0.0376579,24.684986137816,
100.001,99.4221,100,99.4527,0.0305939,25.709514917501,
104.991,101.204,105,101.162,0.0430396,26.75035038991,
100.011,98.3111,100,98.3684,0.0583486,27.783855778679,
104.998,101.995,105,101.968,0.0265391,28.803978566106,
100.004,97.5054,100,97.5486,0.0434667,29.836471728533,
105.006,102.992,105,102.973,0.0207305,30.871355441656,
99.9945,96.5478,100,96.5748,0.0275923,31.901573217818,
105.006,103.855,105,103.819,0.0361346,32.927960333975,
100.01,95.6053,100,95.6458,0.0416358,33.965245516014,
105.006,104.785,105,104.743,0.0426654,34.989472995121,
100.198,94.9998,100.176,95,0.0214813,36.018029532744,
104.435,105.018,104.485,105,0.0527589,37.040576791415,
101.043,94.9979,100.993,95,0.0503905,38.073469228901,
103.879,104.996,103.902,105,0.0231574,39.079720002131,
101.468,95.006,101.45,95,0.0186283,40.102764318643,
103.006,104.995,103.031,105,0.0254432,41.137647530706,
102.607,94.9985,102.58,95,0.0273004,42.178280410082,
101.877,104.992,101.914,105,0.0387242,43.212807593782,
103.654,94.9978,103.624,95,0.0298754,44.247816818493,
100.986,105.012,101.032,105,0.0473556,45.271752152177,
104.294,95.0097,104.256,95,0.0396247,46.290453506986,
100.627,105.016,100.677,105,0.0519202,47.295687544458,
104.952,95.0062,104.935,95,0.017914,48.335197152201,
99.9932,104.743,100,104.782,0.0394761,49.355823368436,
105.007,95.4443,105,95.4196,0.0255498,50.367988485585,
100.004,104.222,100,104.26,0.0381395,51.388921965046,
105.01,96.3159,105,96.278,0.0392094,52.424972200241,
100.016,103.431,100,103.483,0.0538937,53.441257437834,
105.008,96.9666,105,96.9431,0.0247615,54.469511828062,
99.9958,102.636,100,102.662,0.0258885,55.497302243101,
104.998,97.8395,105,97.8032,0.0364292,56.526872680836,
99.9953,101.866,100,101.901,0.0356608,57.546254095903,
105.002,98.7108,105,98.6716,0.0393365,58.5842444942,
100.013,100.952,100,100.994,0.0444716,59.606450136387,
Média,,,,0.0372995
104.796,104.971,104.843,105,0.0547048,1.019535508299,
100.892,95.0068,100.854,95,0.0382577,2.063336603117,
103.56,105.003,103.6,105,0.0394724,3.09951570572,
101.895,94.9889,101.854,95,0.0422856,4.129788163197,
102.8,104.997,102.843,105,0.0430268,5.151251108698,
102.762,94.9925,102.739,95,0.0238318,6.18876089761,
101.771,105.001,101.806,105,0.0353073,7.219459839356,
103.852,94.9835,103.805,95,0.0493913,8.259941736213,
100.909,105.004,100.951,105,0.0424108,9.276632502902,
104.738,95.0034,104.71,95,0.0285475,10.320422367163,
99.9954,104.901,100,104.932,0.0310918,11.344304601653,
104.995,95.5005,105,95.4549,0.0458217,12.369901266805,
99.9852,104.159,100,104.206,0.048472,13.393935368761,
105.004,96.3946,105,96.3635,0.0313805,14.430873170972,
99.9963,103.318,100,103.348,0.0302143,15.449755047822,
104.997,97.1829,105,97.1518,0.0312113,16.484201641123,
100.005,102.808,100,102.839,0.0312374,17.483694961159,
104.989,97.7099,105,97.661,0.050052,18.517257080511,
100.006,102.124,100,102.17,0.0463891,19.529139025192,
105.014,98.2851,105,98.2535,0.0347115,20.557029566348,
100.004,101.205,100,101.248,0.0431304,21.592079696741,
105.007,99.4287,105,99.3905,0.0387565,22.632454815289,
99.9909,100.345,100,100.377,0.0332167,23.647843789787,
104.997,100.014,105,99.9896,0.0243053,24.672134921143,
100.002,99.5565,100,99.5899,0.0335287,25.70078455534,
105.009,100.736,105,100.707,0.0306728,26.720183019847,
99.9942,99.0457,100,99.0771,0.0318994,27.734716017101,
105.001,101.402,105,101.358,0.0440721,28.764294666819,
100.003,98.2329,100,98.2667,0.0339448,29.78871953043,
104.99,101.883,105,101.844,0.0407099,30.795850112588,
100.002,97.5887,100,97.6312,0.0425355,31.831147876494,
104.998,102.708,105,102.674,0.0347994,32.851222025897,
100.002,96.6502,100,96.6723,0.022159,33.894471908752,
104.986,103.733,105,103.686,0.0492972,34.920922866235,
100.011,95.94,100,95.9952,0.0561637,35.940607628266,
104.999,104.533,105,104.491,0.0413831,36.974534364098,
100.011,95.1163,100,95.1455,0.0310538,37.996823546298,
104.578,104.997,104.602,105,0.0244231,39.032706914119,
101.093,94.9919,101.039,95,0.0542025,40.076791424497,
103.527,104.996,103.559,105,0.0319938,41.102146361434,
101.974,94.9947,101.926,95,0.0477634,42.135731402545,
102.723,105.006,102.769,105,0.0458287,43.15542223478,
102.598,94.9939,102.547,95,0.0514759,44.177718853094,
101.907,105.014,101.952,105,0.0469107,45.209878692012,
103.638,95.0187,103.606,95,0.0376094,46.247208379608,
