Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.00998,0.979272,4.98015,5.02467,1.04103,4.96546,99.9687,100.015,99.9313,100.068,
5.07953,0.884837,1.12317,5.09602,4.90116,4.89711,99.9028,100.097,99.861,100.138,
1.20202,0.79475,5.15913,5.16527,4.8364,4.83056,99.8321,100.161,99.7935,100.205,
4.79098,5.22104,1.3059,5.23258,4.77464,0.682777,99.7781,100.224,99.7285,100.269,
5.28504,5.29224,4.72173,1.40333,0.602733,4.70479,99.7029,100.282,99.661,100.336,
1.47993,4.65952,5.37048,5.37303,4.64858,0.511896,99.6436,100.363,99.5931,100.404,
5.43224,4.59477,1.591,5.45053,4.58623,0.431251,99.5702,100.424,99.5243,100.472,
4.5474,0.383435,5.51288,4.53001,5.52068,1.69847,99.5056,100.492,99.4599,100.536,
4.48654,5.57989,0.315681,4.46961,1.78901,5.60582,99.4245,100.551,99.3892,100.606,
0.276559,4.41609,5.66728,5.66908,4.40905,1.89559,99.3676,100.638,99.3183,100.676,
0.262618,1.95899,5.74402,4.35209,4.34099,5.76966,99.2726,100.702,99.2293,100.764,
2.08446,5.83996,0.304139,4.27264,5.8572,4.26919,99.208,100.8,99.1421,100.851,
4.23142,4.21913,5.93274,5.94369,0.384934,2.23255,99.122,100.868,99.0769,100.916,
5.9954,4.17821,0.444742,6.01743,4.15842,2.32399,99.051,100.93,99.0117,100.98,
6.0714,6.08354,2.39714,0.529284,4.10911,4.11525,98.9938,101,98.944,101.048,
6.15609,0.602133,4.06683,6.16658,2.50701,4.06758,98.9317,101.073,98.8762,101.115,
4.03835,4.02321,0.696718,6.25217,6.25007,2.60759,98.8537,101.14,98.8091,101.181,
2.67205,3.98934,3.97345,0.795499,6.34061,6.33821,98.78,101.218,98.7378,101.252,
3.93463,3.94482,6.40297,0.889634,2.79826,6.4286,98.7022,101.272,98.6677,101.322,
3.89445,3.9051,0.970878,6.48571,2.89045,6.51164,98.6317,101.341,98.5926,101.396,
