Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
100.003,99.9884,100.026,99.9742,
100.03,99.9658,100.048,99.9518,
100.057,99.9466,100.071,99.9294,
100.075,99.9184,100.094,99.9061,
100.103,99.8986,100.117,99.8827,
100.124,99.8722,100.14,99.8596,
100.145,99.85,100.163,99.8373,
100.173,99.8282,100.184,99.8156,
100.189,99.8052,100.207,99.7933,
100.214,99.7855,100.228,99.7715,
100.234,99.7585,100.256,99.7435,
100.268,99.7325,100.279,99.7206,
100.292,99.7173,100.302,99.6985,
100.315,99.6958,100.324,99.676,
100.336,99.6725,100.346,99.6535,
100.353,99.6451,100.369,99.6312,
100.374,99.6177,100.392,99.6076,
100.402,99.5941,100.416,99.5843,
100.424,99.5703,100.441,99.5594,
100.448,99.5483,100.463,99.5372,
100.465,99.5249,100.484,99.5157,
100.49,99.5129,100.506,99.4941,
100.513,99.4866,100.529,99.471,
100.541,99.4602,100.552,99.4482,
100.561,99.4419,100.573,99.4266,
100.582,99.4103,100.598,99.4018,
100.613,99.3985,100.622,99.3783,
100.634,99.3657,100.645,99.3551,
100.654,99.3408,100.669,99.3307,
100.675,99.3241,100.69,99.3095,
100.698,99.3053,100.712,99.2882,
100.728,99.273,100.74,99.2601,
100.758,99.2468,100.766,99.2342,
100.772,99.2299,100.788,99.2119,
100.797,99.2084,100.813,99.1871,
100.827,99.1782,100.836,99.1643,
100.853,99.1586,100.861,99.1392,
100.862,99.1196,100.887,99.1125,
100.904,99.1088,100.911,99.0889,
100.925,99.0749,100.935,99.065,
100.953,99.0649,100.958,99.0416,
100.965,99.0349,100.985,99.0148,
100.987,98.9974,101.009,98.9912,
101.025,98.9856,101.031,98.9694,
101.037,98.9503,101.054,98.9462,
101.059,98.9459,101.075,98.9245,
101.081,98.9047,101.101,98.8987,
101.106,98.879,101.124,98.8762,
101.142,98.8707,101.147,98.853,
101.152,98.8499,101.169,98.8313,
101.189,98.8334,101.192,98.8078,
101.192,98.799,101.214,98.786,
101.223,98.7822,101.236,98.7639,
101.236,98.7456,101.258,98.7418,
101.278,98.7459,101.281,98.7195,
101.279,98.6995,101.305,98.6947,
101.313,98.6763,101.327,98.6732,
101.343,98.6606,101.349,98.6514,
101.346,98.6447,101.37,98.6299,
101.378,98.6146,101.392,98.6083,
101.413,98.6121,101.415,98.5847,
101.439,98.5722,101.443,98.5565,
101.449,98.552,101.465,98.5348,
101.488,98.5278,101.491,98.5088,
101.513,98.5088,101.514,98.4856,
101.507,98.4664,101.536,98.4637,
101.54,98.4681,101.558,98.4419,
101.579,98.4307,101.582,98.4183,
101.582,98.4116,101.604,98.3962,
101.625,98.3923,101.626,98.3737,
101.649,98.3742,101.649,98.3512,
101.673,98.3426,101.674,98.3258,
101.679,98.3039,101.7,98.2998,
101.722,98.287,101.723,98.2775,
101.722,98.2732,101.748,98.2517,
101.746,98.2471,101.77,98.23,
101.793,98.2197,101.793,98.2068,
101.81,98.1875,101.817,98.1827,
101.825,98.1598,101.841,98.1594,
101.863,98.1508,101.864,98.1356,
101.88,98.1113,101.89,98.1099,
101.894,98.1146,101.913,98.0869,
101.937,98.0882,101.936,98.0637,
101.927,98.0349,101.964,98.0364,
101.978,98.0393,101.986,98.014,
101.982,98.0092,102.009,97.9913,
102.001,97.9706,102.031,97.9694,
102.036,97.969,102.053,97.9471,
102.078,97.9353,102.076,97.924,
102.08,97.9,102.099,97.9007,
102.095,97.8966,102.121,97.8786,
102.119,97.8685,102.148,97.8521,
102.165,97.8322,102.172,97.8284,
102.17,97.8335,102.201,97.7993,
102.202,97.7663,102.231,97.7687,
102.229,97.7713,102.253,97.7468,
102.267,97.7586,102.279,97.7213,
102.277,97.7176,102.306,97.6937,
102.306,97.6947,102.328,97.6717,
102.314,97.669,102.355,97.6454,
102.383,97.6416,102.379,97.6214,
102.4,97.6261,102.402,97.5977,
102.419,97.608,102.425,97.5755,
102.467,97.5573,102.454,97.5465,
102.459,97.5474,102.477,97.5234,
102.501,97.523,102.499,97.5014,
102.491,97.4959,102.521,97.4792,
102.528,97.4851,102.544,97.4558,
102.575,97.4567,102.567,97.4328,
102.577,97.4364,102.589,97.4111,
102.595,97.4162,102.611,97.3886,
102.598,97.3649,102.632,97.3679,
102.62,97.3618,102.654,97.3461,
102.685,97.3589,102.677,97.3227,
102.686,97.3275,102.699,97.3011,
102.708,97.3096,102.727,97.2725,
102.769,97.2612,102.756,97.2445,
102.788,97.2413,102.782,97.2182,
102.808,97.2175,102.804,97.1959,
102.796,97.1991,102.827,97.173,
102.859,97.1695,102.85,97.15,
102.839,97.1409,102.873,97.1273,
102.883,97.0956,102.898,97.1021,
102.884,97.0737,102.921,97.0785,
102.929,97.0956,102.952,97.0483,
102.953,97.0151,102.973,97.0269,
102.969,97.0367,102.997,97.0034,
103.028,96.9978,103.019,96.9808,
102.999,96.9729,103.049,96.9513,
103.06,96.9601,103.076,96.9238,
103.064,96.9192,103.102,96.8983,
103.087,96.8675,103.129,96.8706,
103.11,96.8677,103.159,96.8409,
103.17,96.8544,103.181,96.8189,
103.228,96.8303,103.213,96.7872,
103.191,96.7566,103.24,96.7596,
103.265,96.7326,103.267,96.7332,
103.255,96.7136,103.289,96.7111,
103.263,96.7067,103.318,96.6818,
103.317,96.6871,103.341,96.6586,
103.347,96.6755,103.364,96.6365,
103.39,96.6527,103.386,96.6138,
103.377,96.5937,103.41,96.5903,
103.388,96.5588,103.433,96.567,
103.415,96.5655,103.455,96.5447,
103.442,96.5474,103.479,96.5211,
103.516,96.5217,103.502,96.4979,
103.507,96.4513,103.533,96.4674,
