Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
99.2638,100.73,99.2652,100.729,0.00184282,1.041552372429,
98.5194,101.468,98.5219,101.466,0.00318586,2.089471813585,
97.7824,102.2,97.7841,102.198,0.00239084,3.12755592328,
97.0504,102.925,97.0527,102.923,0.00296239,4.157612975957,
96.3261,103.644,96.3274,103.643,0.00201093,5.179155038808,
97.0876,103.249,97.0855,103.251,0.00271689,6.203953243597,
97.9855,102.752,97.9836,102.754,0.00271094,7.23024624164,
98.8919,102.252,98.8899,102.253,0.00229897,8.267694079176,
99.7997,101.75,99.7975,101.751,0.00270802,9.302542187727,
100.713,101.244,100.711,101.246,0.00272514,10.347602648209,
101.618,100.744,101.615,100.746,0.00316936,11.380966285524,
102.537,100.236,102.535,100.237,0.00290894,12.430765844237,
103.44,99.7361,103.438,99.7375,0.00219588,13.463290096322,
104.333,99.2428,104.331,99.244,0.0024099,14.482926785162,
105.111,99.845,105.108,99.8442,0.00306972,15.520120445024,
105.871,100.538,105.868,100.537,0.00316391,16.549082633673,
106.625,101.228,106.624,101.226,0.00265261,17.570713919372,
107.391,101.923,107.388,101.921,0.00344898,18.603434205931,
108.141,102.604,108.138,102.604,0.00291876,19.617171793769,
108.831,103.272,108.832,103.272,0.00109692,20.632843383028,
107.815,103.479,107.817,103.48,0.00255589,21.668975766201,
106.817,103.684,106.821,103.684,0.00408252,22.686561139633,
105.816,103.889,105.818,103.889,0.0021023,23.708892687946,
104.817,104.094,104.819,104.093,0.00209466,24.729127796445,
103.825,104.296,103.828,104.296,0.00234629,25.742629076298,
102.828,104.5,102.831,104.5,0.00250356,26.758318365946,
101.812,104.707,101.814,104.707,0.00203891,27.796355975139,
100.819,104.911,100.821,104.91,0.00206311,28.809852799161,
99.8069,105.118,99.8096,105.117,0.00279601,29.842498205808,
98.7785,105.328,98.7807,105.328,0.00218771,30.892005974294,
98.4252,104.787,98.4245,104.789,0.00186453,31.915701399727,
98.4884,103.764,98.4879,103.767,0.00287617,32.939295182479,
98.5527,102.729,98.5521,102.731,0.00184564,33.977648232154,
98.6178,101.681,98.617,101.685,0.00327144,35.026401504166,
98.6808,100.645,98.6814,100.647,0.00183085,36.065853239922,
98.745,99.6176,98.745,99.6201,0.00253375,37.094464606141,
98.8103,98.5689,98.8101,98.5711,0.00213649,38.145824562272,
98.8743,97.531,98.8744,97.533,0.00197236,39.185704208354,
98.9396,96.4911,98.9389,96.4933,0.00234804,40.228013228327,
99.0043,95.448,99.0035,95.4511,0.00318883,41.271818060744,
99.0671,94.4144,99.0676,94.4173,0.00293522,42.308092599105,
99.061,93.4078,99.0634,93.4085,0.00256475,43.342303841692,
98.3737,92.6516,98.3765,92.6532,0.00322229,44.363203659869,
97.6934,91.9027,97.696,91.9048,0.00332757,45.375181117504,
97.2902,91.5434,97.2887,91.5392,0.00442554,46.384644829885,
97.7754,92.4261,97.7735,92.4248,0.00227253,47.393135099086,
98.263,93.3197,98.2621,93.3172,0.0026486,48.410926973207,
98.7518,94.2119,98.7509,94.2099,0.00222711,49.429657813524,
99.2431,95.1112,99.2425,95.108,0.0032438,50.452423682904,
99.7361,96.0105,99.7353,96.008,0.00263715,51.480236228063,
100.239,96.9275,100.238,96.9258,0.00224886,52.524700667472,
100.732,97.8277,100.73,97.8258,0.00223337,53.550668147784,
101.228,98.7328,101.226,98.7314,0.00205346,54.584768068023,
101.734,99.66,101.733,99.6574,0.00253698,55.638928273802,
102.238,100.578,102.236,100.577,0.00195321,56.687724884636,
102.741,101.497,102.74,101.496,0.00169431,57.734677520852,
103.239,102.409,103.238,102.407,0.00283526,58.773025023635,
103.741,103.323,103.739,103.321,0.00265115,59.817166153628,
Média,,,,0.0025679
101.034,100.094,101.031,100.094,0.00297904,1.042179998342,
102.09,100.191,102.087,100.191,0.00248007,2.103956734989,
103.129,100.287,103.128,100.286,0.00187132,3.146868334267,
104.154,100.381,104.152,100.38,0.00222138,4.175216884769,
105.179,100.474,105.177,100.474,0.00207686,5.20592667264,
106.196,100.568,106.195,100.567,0.00148359,6.22742933984,
105.665,100.084,105.668,100.085,0.00316802,7.255232377553,
104.829,99.4862,104.83,99.4876,0.00225781,8.283706945515,
103.993,98.8914,103.995,98.8916,0.00236435,9.308352480666,
103.138,98.2784,103.14,98.2806,0.00267496,10.36145075035,
102.303,97.6846,102.305,97.6851,0.0020522,11.384771026693,
101.472,97.0894,101.474,97.0914,0.00275504,12.406867045027,
100.636,96.493,100.638,96.4948,0.00280312,13.43439952632,
99.8025,95.9008,99.8059,95.9008,0.00331935,14.45748396442,
98.9682,95.3035,98.9708,95.3047,0.00280545,15.482088722966,
98.1418,94.7141,98.1447,94.7149,0.00295311,16.498074279546,
97.3236,94.1275,97.3253,94.13,0.00300942,17.505820508786,
96.5026,93.5418,96.5039,93.5437,0.00226802,18.512971519876,
96.681,94.0914,96.6785,94.0905,0.00260977,19.515142414668,
