Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
99.0951,96.9446,101.56,96.8305,2.46739,1.036707103152,
106.165,98.1281,107.273,97.7003,1.18797,2.088704059198,
106.561,102.914,107.005,102.64,0.521831,3.103775042412,
101.478,103.334,101.795,103.337,0.316921,4.133190291761,
100.712,99.281,100.333,98.4021,0.957091,5.158592728885,
107.236,100.604,105.156,96.1706,4.89688,6.188503437093,
109.465,104.968,107.993,100.239,4.95274,7.204866777053,
104.659,102.514,104.184,103.996,1.55559,8.238138241489,
101.595,100.159,100.101,100.892,1.66461,9.262200556405,
100.091,99.9045,102.407,96.3307,4.25858,10.28353068513,
107.463,102.569,107.297,97.7345,4.83742,11.304890257324,
106.472,102.856,106.832,102.825,0.360678,12.32828158569,
101.227,98.0551,101.525,103.143,5.09618,13.36026028537,
102.96,97.9292,100.519,98.0287,2.44272,14.386814153088,
104.132,101.321,105.442,96.2689,5.21912,15.415181033339,
104.893,103.006,107.928,100.757,3.7773,16.437820174606,
103.848,103.836,103.26,103.931,0.595072,17.484091449149,
95.7288,103.272,100.003,100.144,5.29594,18.505521417923,
105.244,92.3888,103.289,96.0637,4.16264,19.5297320596,
103.299,102.02,107.879,99.0249,5.47272,20.568392172314,
102.8,103.173,105.509,103.705,2.76047,21.596843535475,
100.394,102.278,100.58,102.074,0.275527,22.622934100591,
98.1444,97.0808,101.397,96.9631,3.25434,23.64824822006,
107.691,98.1961,106.878,97.2217,1.26935,24.687400017451,
109.376,106.55,107.131,102.49,4.64,25.717187731384,
107.988,102.238,101.94,103.429,6.16355,26.746822154876,
102.834,92.7793,100.62,97.861,5.54309,27.797401049725,
104.881,95.3626,105.663,96.3622,1.26927,28.826167600788,
105,98.4963,107.824,101.172,3.89038,29.856355378539,
105.599,106.989,103.56,103.976,3.63911,30.87825060073,
97.9449,99.0176,100.041,100.573,2.61049,31.892945237694,
104.873,96.6996,102.802,96.1838,2.13467,32.918364052567,
105.251,99.8086,107.584,98.2241,2.81991,33.945355593791,
105.985,103.916,106.199,103.341,0.613757,34.974563705765,
101.445,104.958,100.911,102.541,2.47543,36.007526426531,
99.1734,101.164,101.07,97.2774,4.32411,37.037068138554,
110.476,93.8121,106.439,96.8296,5.03983,38.071399747572,
109.873,99.2651,107.611,101.72,3.33761,39.09072245349,
102.463,103.772,102.971,103.865,0.517032,40.113280808246,
98.8965,98.3889,100.112,99.0607,1.38866,41.159180622696,
109.071,91.5424,103.916,96.0009,6.81524,42.170498626163,
107.346,98.5082,107.98,99.5966,1.25964,43.208106540994,
105.767,101.838,104.743,103.93,2.32973,44.242686214595,
96.7347,103.834,100.172,101.162,4.35435,45.275708919106,
103.158,96.8564,102.299,96.3797,0.98263,46.30342292887,
103.453,97.5038,107.243,97.6586,3.79334,47.325869750529,
107.285,104.97,106.988,102.66,2.32972,48.345749204102,
104.191,101.51,101.675,103.255,3.06173,49.376672016284,
100.477,96.944,100.775,97.634,0.751446,50.426463033922,
104.53,96.3132,105.92,96.4907,1.40111,51.455554319308,
104.52,100.792,107.805,101.234,3.31449,52.477722057903,
108.678,98.0739,103.509,103.97,7.841,53.500289464354,
97.3394,98.8457,100.007,99.7594,2.81997,54.538073276241,
104.659,96.8769,103.406,96.0444,1.50495,55.558612732216,
111.729,97.1178,107.753,98.6171,4.24915,56.577196053935,
104.414,102.967,105.156,103.829,1.13736,57.634583414746,
104.993,100.271,100.465,101.872,4.80225,58.653885663614,
102.72,94.7779,101.726,96.7091,2.17184,59.685400664861,
Média,,,,2.98148
97.3984,98.686,102.385,96.3406,5.51041,1.051634820553,
106.546,99.0672,107.3,97.7397,1.52667,2.075085740133,
106.146,101.717,106.621,103.021,1.38827,3.106193857281,
101.101,102.343,101.12,102.776,0.433323,4.146365407197,
99.4037,97.7416,100.987,97.3691,1.62656,5.184292048896,
108.169,91.9498,106.232,96.6806,5.11192,6.213531110797,
111.393,99.5432,107.598,101.748,4.38891,7.241534183682,
103.1,104.896,102.802,103.816,1.11983,8.269581137363,
96.648,98.6709,100.074,99.2341,3.47196,9.302183420329,
102.965,101.745,104.188,96.0044,5.86937,10.32910221801,
107.967,95.1964,107.998,99.8602,4.66395,11.365173926555,
101.645,107.774,104.981,103.878,5.1289,12.38379359534,
100.926,102.364,100.184,101.2,1.38062,13.423616508234,
105.46,92.9132,102.421,96.325,4.56946,14.45784670308,
105.097,97.9059,107.291,97.7265,2.20176,15.479698783279,
103.093,105.291,106.654,102.992,4.23887,16.508918832962,
99.5283,103.123,101.351,102.997,1.82729,17.539658172944,
100.17,100.838,100.976,97.3818,3.54902,18.585664969901,
103.045,98.6861,105.719,96.3882,3.52558,19.597367731441,
106.212,104.319,107.741,101.417,3.27969,20.633543625574,
102.536,106.919,103.132,103.905,3.07295,21.661750181273,
99.4056,98.502,100.026,99.5468,1.215,22.697100912186,
103.962,94.4932,103.675,96.0132,1.54688,23.717663352771,
107.046,101.254,107.856,98.9369,2.45432,24.737835141028,
104.858,101.941,105.807,103.568,1.88423,25.758514154293,
101.742,101.496,100.586,102.084,1.2974,26.79534954014,
101.733,96.6897,101.637,96.7723,0.126117,27.831284485572,
106.374,97.2656,106.403,96.8019,0.464526,28.838999511459,
108.5,100.654,107.473,101.985,1.68042,29.869851311751,
102.351,104.321,102.389,103.661,0.660998,30.902934563585,
96.1006,98.8559,100.108,99.0771,4.01341,31.927145022574,
103.446,95.8998,104.573,96.0412,1.13578,32.961255594877,
107.504,98.5542,108,99.9401,1.47186,33.987723901824,
101.645,106.708,104.217,103.994,3.73941,35.029375706539,
101.848,102.593,100.08,100.794,2.52266,36.059593678147,
101.396,98.2375,102.889,96.1574,2.56022,37.093868394221,
105.052,95.7764,107.497,98.0584,3.3449,38.110195824244,
109.284,103.143,106.285,103.283,3.00185,39.145511295074,
98.8592,104.292,100.982,102.625,2.69885,40.17725760529,
101.975,96.7531,100.647,97.8191,1.70315,41.187967389028,
107.325,93.8878,105.814,96.4349,2.96179,42.221994749046,
113.598,99.1637,107.866,101.026,6.02709,43.239233859817,
105.064,101.648,103.825,103.996,2.65448,44.257860126749,
100.793,99.0468,100.038,100.554,1.68496,45.28111877642,
103.246,95.2402,103.106,96.1011,0.872054,46.316293202687,
105.97,98.6712,107.805,98.7665,1.83747,47.351333381142,
110.553,104.436,106.079,103.417,4.58836,48.367655812493,
97.7691,101.1,100.98,102.623,3.55388,49.39340637719,
99.3039,96.8385,101.32,97.0309,2.02495,50.436873275353,
105.293,101.622,106.776,97.1205,4.73939,51.47507257455,
102.655,103.203,107.474,101.983,4.97128,52.489243607296,
100.635,104.552,102.602,103.748,2.12509,53.515498511091,
101.274,97.2057,100.097,99.1234,2.25018,54.543772685676,
107.238,98.1763,103.832,96.0035,4.04002,55.557194705829,
102.973,99.6585,107.879,99.024,4.9465,56.577261308803,
103.568,104.141,105.767,103.588,2.26782,57.59506471867,
99.0087,103.047,100.439,101.822,1.88289,58.642263889063,
102.18,97.9432,101.824,96.6435,1.34755,59.673658171104,
Média,,,,2.76178
105.521,97.3581,104.669,96.0564,1.55559,1.033171406437,
108.275,104.121,107.937,100.708,3.42978,2.081907740265,
100.364,106.599,103.341,103.945,3.98811,3.127451469888,
100.173,99.7266,100.012,99.6908,0.164491,4.162809825322,
106.156,100.377,103.753,96.0076,4.98663,5.191236009069,
108.375,101.028,107.926,99.233,1.85048,6.221283149398,
106.347,105.987,105.517,103.701,2.4319,7.242358088942,
100.837,103.041,100.832,102.442,0.599213,8.25381652863,
100.204,96.5096,101.09,97.2561,1.15851,9.280831283712,
