Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
99.1419,95.5515,96.6558,96.7467,2.75852,1.496536970441,
92.3494,88.0665,93.2234,92.9081,4.91989,2.9621637877,
98.1758,100.729,96.6879,97.6718,3.40041,4.423138271801,
103.022,94.2832,103.73,90.7578,3.59572,5.883844691212,
96.2799,100.387,96.9558,102.528,2.24503,7.360098997136,
105.601,93.8445,105.198,93.621,0.461184,8.850865443203,
101.819,100.486,101.675,101.066,0.597862,10.328949513507,
97.5892,98.5245,98.2025,99.1309,0.862501,11.810227154308,
105.663,98.9736,104.781,98.2877,1.11684,13.284843092033,
104.797,105.455,103.338,105.738,1.48663,14.784885750219,
99.0967,105.136,101.565,103.019,3.25144,16.244342430578,
102.724,107.459,99.5518,107.663,3.179,17.703593955565,
94.0388,96.075,94.428,96.6525,0.696459,19.173564364605,
101.572,100.503,99.8878,101.514,1.96396,20.648316202798,
103.492,102.663,101.531,104.241,2.51734,22.124833723072,
105.599,98.3674,105.454,101.164,2.80053,23.612103572126,
89.6363,109.244,91.6298,108.14,2.27918,25.098447270514,
98.7303,94.912,101.787,94.9775,3.0578,26.55933351587,
111.614,100.21,109.658,102.431,2.95992,28.020616272765,
99.7693,100.735,100.877,103.813,3.2716,29.513038631438,
100.437,103.033,97.4015,105.698,4.03904,30.99429578266,
100.324,92.676,99.7731,92.8167,0.568858,32.450142414842,
98.1704,102.096,97.6229,105.129,3.08241,33.945135871788,
94.0302,103.724,93.8288,102.799,0.945904,35.403364124221,
98.3437,94.9637,99.5134,94.0207,1.50247,36.90456896034,
93.0147,99.1367,92.0438,97.0474,2.30394,38.351761008954,
94.1931,111.334,96.3537,107.062,4.78779,39.798732275259,
104.596,99.7573,104.018,99.2251,0.785552,41.285431928868,
97.9992,99.5297,97.8013,98.1689,1.37515,42.788805211966,
111.422,100.989,108.665,99.5234,3.12216,44.280023362137,
93.218,96.4297,94.3626,99.1263,2.92952,45.76672258472,
104.028,106.321,99.6104,107.998,4.72543,47.272464178214,
103.279,97.5946,101.077,98.0818,2.25506,48.752295728468,
104.3,99.9132,103.186,103.289,3.55482,50.243588357817,
101.012,99.2471,98.2483,97.8293,3.10586,51.741377247951,
103.772,96.2542,101.159,92.7339,4.38407,53.199609078581,
96.3169,105.511,96.4988,102.966,2.55144,54.688075155121,
93.0528,95.5445,91.7694,95.286,1.3091,56.159684628535,
103.004,100.348,104.253,100.507,1.25899,57.617645955582,
94.7665,97.4191,96.7027,100.634,3.75266,59.096359691229,
Média,,,,2.49405
103.206,106.236,101.85,108.865,2.95826,1.507550288306,
98.9735,98.6557,97.068,99.2142,1.98557,2.984034394526,
101.709,101.673,102.801,101.836,1.10456,4.463610239654,
94.3799,96.0786,96.7219,98.3321,3.25006,5.948887611792,
102.291,106.894,101.313,106.796,0.982724,7.415691204147,
105.045,99.6895,101.717,99.8395,3.33162,8.877127483692,
98.3574,98.4212,100.942,96.1572,3.43594,10.366658328674,
102.74,104.099,105.303,103.293,2.68678,11.84983096736,
96.6988,96.3386,96.9484,100.928,4.59653,13.341948289251,
99.7277,100.132,102.123,100.388,2.40867,14.811704490748,
95.2608,99.9299,95.5546,104.009,4.08981,16.295353756993,
106.844,95.0472,107.499,93.6266,1.56437,17.791064754684,
93.2531,93.9557,91.9028,94.036,1.35262,19.262355269845,
106.109,101.509,101.981,102.137,4.17496,20.746364178052,
109.238,95.9195,108.495,93.9251,2.12845,22.224042581192,
98.7505,105.964,103.339,106.741,4.65376,23.6880782264,
96.91,96.6812,96.6518,99.1817,2.51375,25.167774386111,
105.201,99.4314,106.309,100.959,1.88725,26.627902201942,
95.4573,102.481,92.7871,99.2423,4.19785,28.121503978751,
90.9639,96.7308,93.4654,98.2133,2.9078,29.616608268929,
97.0905,98.1904,98.273,102.035,4.02241,31.088604222873,
100.457,92.879,99.6603,92.2245,1.03144,32.593684019948,
112.337,106.045,108.904,108.999,4.52862,34.078298722339,
92.6713,107.374,94.7963,106.249,2.40466,35.567488847556,
106.928,93.9617,107.894,93.9224,0.966939,37.063248870521,
105.733,99.1476,104.41,100.154,1.66231,38.526665676018,
105.491,105.377,102.232,103.689,3.67006,40.008882307093,
96.1235,94.7374,97.5581,94.3637,1.48247,41.50849992397,
105.935,92.777,104.662,96.0451,3.50746,42.983319384119,
100.281,105.885,99.5294,102.669,3.30311,44.467401932263,
92.1207,96.9934,94.0613,95.544,2.42209,45.952525992201,
95.9006,98.9214,96.1922,102.369,3.45985,47.453677665309,
104.809,91.8547,105.305,92.1839,0.595183,48.94770176586,
98.9608,103.548,100.711,104.598,2.04084,50.409924066576,
100.773,98.0555,100.394,97.2809,0.862503,51.899755746569,
93.8179,102.451,95.6401,105.553,3.59763,53.363355814561,
102.937,98.5753,104.145,93.9412,4.78893,54.84934745664,
94.8138,105.884,95.8417,104.601,1.64386,56.333324092577,
96.8478,95.1666,99.7884,97.0527,3.4935,57.793162054932,
98.7679,109.83,98.0029,107.555,2.40036,59.27118484555,
Média,,,,2.70239
104.337,98.6095,103.029,99.092,1.39377,1.500506119101,
111.293,95.6094,108.83,94.6925,2.62791,2.962530613523,
102.785,103.901,99.7834,105.848,3.57768,4.453675341189,
103.837,96.5903,106.95,97.6583,3.29075,5.936609773251,
104.429,107.664,103.402,105.146,2.71918,7.414944637226,
96.0209,105.84,95.7928,103.544,2.30736,8.909150085212,
99.3144,97.8128,97.8159,100.711,3.26232,10.402460213015,
102.474,100.737,101.536,99.8849,1.26713,11.903148570283,
104.699,105.105,103.911,109.555,4.51912,13.390945562912,
105.28,94.6034,104.519,92.9154,1.85199,14.843444673945,
99.0922,104.935,98.1842,104.785,0.92031,16.32273041421,
91.3758,103.238,92.1364,105.187,2.09184,17.805945626888,
96.2901,98.8575,92.2221,99.1427,4.07794,19.264269717915,
107.452,106.441,106.268,108.187,2.10957,20.722523582705,
93.5869,98.3613,94.7062,94.5437,3.97838,22.215055375969,
102.253,99.9609,99.5592,100.783,2.81681,23.685216463272,
97.0102,90.2171,98.6674,94.0972,4.21923,25.185591513751,
112.39,96.7568,109.083,100.105,4.706,26.642607400288,
102.651,99.7487,104.789,102.116,3.18986,28.111592554681,
100.315,101.83,98.1773,101.718,2.14052,29.575556318349,
101.407,98.4176,100.884,99.8195,1.49626,31.070447928341,
104.296,99.4783,104.417,99.9016,0.440302,32.573188589048,
102.431,99.9917,100.478,100.722,2.08479,34.049338204886,
94.8198,101.525,94.2059,102.357,1.03396,35.540975753253,
97.318,95.3942,94.1911,95.9475,3.17545,37.009747627084,
96.7726,90.7715,94.586,93.4446,3.45355,38.516807500934,
104.356,95.6051,100.945,96.6783,3.57656,40.013250411617,
100.957,103.83,99.6126,101.551,2.64611,41.49657733691,
94.2604,98.8047,93.481,97.4975,1.52194,42.981172595368,
89.1173,101.797,91.476,103.206,2.7474,44.447025339069,
106.807,92.4351,102.736,92.6143,4.07534,45.936803535348,
105.215,91.4365,108.664,92.5679,3.62993,47.397861948155,
103.883,105.711,103.256,108.236,2.60177,48.911585992508,
110.663,91.0724,108.413,90.5057,2.32042,50.39388029826,
107.909,98.9199,106.855,98.6113,1.09874,51.869410186468,
99.0973,101.192,99.9253,99.462,1.91791,53.327779294296,
101.22,104.991,101.656,106.783,1.84395,54.799630052801,
97.0682,97.8024,99.2259,98.4826,2.26229,56.277641341945,
95.7649,95.8964,99.5907,94.8067,3.97796,57.757556219872,
97.8712,107.121,97.4446,106.737,0.574095,59.230019272277,
Média,,,,2.58866
107.876,100.049,107.251,99.6644,0.733697,1.494320517866,
90.918,104.12,94.5846,105.816,4.03995,2.951424045786,
104.451,100.667,103.86,99.362,1.43291,4.392748477267,
104.121,103.884,103.242,102.261,1.84592,5.896998583261,
98.6185,103.395,100.955,101.529,2.99031,7.364561977724,
100.166,98.1511,99.2687,96.3026,2.0547,8.843619993108,
104.692,106.383,101.427,108.297,3.78515,10.327472702548,
97.8025,99.3566,95.8341,98.7393,2.06297,11.773714277206,
94.6229,103.257,93.0749,102.94,1.58023,13.273663279181,
103.097,102.222,101.655,101.441,1.63981,14.738370261428,
100.674,100.861,103.043,99.3919,2.78794,16.223280385006,
99.6847,107.09,98.766,103.609,3.60063,17.717709065418,
90.6066,108.185,90.9361,108.212,0.330581,19.173841315807,
104.78,107.467,102.728,107.659,2.06064,20.638735079276,
96.1091,94.6392,95.5684,94.2609,0.659866,22.099428775066,
104.457,100.073,105.595,98.1819,2.2069,23.584952807091,
100.699,93.5318,98.585,93.9994,2.16548,25.084051442551,
100.753,103.768,104.478,102.468,3.94567,26.54690322932,
97.5953,92.7291,97.7683,90.7372,1.9994,28.021644919016,
99.8784,101.976,99.895,104.447,2.471,29.492294668159,
95.4228,96.3392,93.5228,94.2123,2.85198,30.97219344648,
94.9654,98.1325,94.3495,97.2818,1.05018,32.474833503814,
93.7263,106.316,95.9917,108.175,2.93024,33.934393965624,
104.049,91.0405,105.057,91.2932,1.03937,35.419133065037,
99.2065,85.1069,98.0663,90.5314,5.54301,36.888971437844,
110.695,106.55,108.597,109.162,3.35047,38.374607802978,
101.893,102.433,102.14,100.264,2.18294,39.875581740122,
99.9991,102.282,98.6561,101.483,1.56262,41.356612886636,
100.305,108.567,97.3725,108.002,2.98642,42.824735489751,
103.507,99.9079,104.828,100.94,1.67652,44.295503055729,
107.29,100.181,105.731,98.9711,1.97345,45.780348799312,
96.6034,93.4548,96.0652,91.1488,2.36797,47.24438827122,
97.792,93.427,98.3854,94.8709,1.56103,48.705090832528,
95.0651,103.738,94.3547,103.089,0.962118,50.193830130762,
103.463,97.6531,103.411,98.2982,0.647185,51.664038273253,
107.951,100.016,103.593,99.2809,4.42041,53.142509460775,
