Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
10.0511,4.16637,5.86199,6.0663,1.29615,7.96234,6.14215,4.37577,5.31832,101.329,104.943,101.182,104.716,
5.59008,5.1329,7.71831,6.03767,3.8225,9.68974,4.08407,5.7016,1.19467,101.147,104.639,101.055,104.471,
5.95118,7.48852,5.50389,4.86188,3.56978,1.18733,9.42637,3.80302,5.23737,101.049,104.346,100.938,104.228,
1.2233,3.34628,5.05585,5.22059,9.19344,4.58563,7.19202,3.53006,5.81373,100.915,104.154,100.826,103.981,
4.40125,7.02114,4.80612,1.34607,3.30266,3.0402,5.73038,8.90219,4.89096,100.795,103.847,100.724,103.735,
3.08202,4.55939,6.7837,8.69278,5.64824,1.52579,4.64423,4.06264,2.74085,100.717,103.68,100.624,103.477,
5.58274,1.67044,6.5668,4.4059,8.40963,2.50686,3.80856,4.20579,2.68374,100.588,103.415,100.516,103.17,
2.49038,2.26523,5.47601,1.95839,6.30044,8.09365,3.52796,4.0397,3.90749,100.496,103.056,100.434,102.915,
5.40961,2.00336,2.18084,3.69929,3.28977,3.78068,2.24619,6.0663,7.74829,100.374,102.712,100.334,102.563,
2.48138,3.3983,5.88493,2.98683,1.81329,7.47952,1.60584,3.40984,5.29044,100.326,102.49,100.264,102.283,
1.5877,5.24967,3.19099,2.79751,2.70323,1.34457,3.04439,5.66008,7.14046,100.226,102.127,100.2,101.988,
5.55081,2.82854,2.88056,1.25598,3.0994,5.17772,6.88249,1.05377,2.3772,100.214,101.885,100.147,101.706,
2.61749,2.54929,6.64385,5.13185,2.16945,0.826528,0.960235,3.42603,5.35729,100.102,101.624,100.102,101.427,
2.33658,6.38078,5.2744,3.64608,2.24575,0.62102,5.08628,0.732843,1.87745,100.114,101.363,100.067,101.156,
0.618772,1.72201,5.05975,2.02735,0.49061,1.97203,5.16183,6.02703,3.99039,100.052,101.023,100.038,100.87,
